умереть:1
вечер:1
центральный:3
станция:3
история:4
скверный:4
америка:5
ресурс:5
рейтинг:5
русский:5
отказать:6
старик-то:6
дать:6
час:6
отель:6
глядеть:6
узнать:6
думать:6, 12
один:6
знаете:6
секунда:6
иван:6
отобедать:6
хе-хе:6
знакомый:6
небось:6
что-то:6
видеть:6
европа:6
пётр:6
шесть:6
позвать:6
лицо:6
надеть:7
выйти:7
пожать:7
быстро:7
хозяин:7
рука:7
торжествовать:7
перегарин:7
фуражка:7
зельтерский:7
стена:8
сушь:8
детский:8
присыпка:8
газетный:8
оклеить:8
дом:8
сырость:8
посыпать:8
цыпочка:9
увидать:9
прощать:9
пелагея:9
шептать:9
власыч:9
подниматься:9, 11
егор:9
картузик:9
белый:9
дьячок:10
алтарь:10
копейка:10
семенить:10
брать:10
старуха:10
полтора:10
старинный:10
бумажка:10
подавать:10
чёрный:11
тень:11
сёма:11
тухнуть:11
шаг:11
мёртвый:11
дремать:11
тело:11
глаз:11
парень:11
костёр:11
говор:11
тихо:11
ряска:11
идти:11
закрывать:11
смолкать:11
ложиться:11
минута:11
большой:11
начинать:11
слава:12
пимф:12
бог:12
святой:12
дыбом:12
выносить:12
волос:12
дойти:12
иерархия:12
сотворение:12
